Season, Episode, Character, Line
2, 14, Announcer, "Futurama is brought to you by ...  ... Glagnar's Human Rinds. It's a buncha muncha cruncha human!"
2, 14, Leela, "Aww! Somebody likes snouts."
2, 14, Fry, "Is it me?"
2, 14, Bender, "Ow, my head! My precious head!   Stupid can opener. You killed my father and now you've come back for me!"
2, 14, Fry, "You alright, Bender?"
2, 14, Bender, "Yeah, I guess so. But I don't see why we keep this ticking time-bomb around just for that dumb animal."
2, 14, Leela, "Don't yell at Nibbler like that.  You hurt his feelings. Come on, pet him and make up."
2, 14, Bender, "No."
2, 14, Leela, "I said pet him."
2, 14, Bender, "I'll pet him. I'll pet him with both hands!  Ow! My ass! Get off!"
2, 14, Leela, "Are you alright?"
2, 14, Bender, "Ah, it's nothing a lawsuit won't cure."
2, 14, Leela, "Not you.  Aww, poor baby chipped a fang."
2, 14, Bender, "Hey, I got a busted ass here, I don't see anyone kissing it."
2, 14, Zoidberg, "Alright, I'm coming."
2, 14, Jeffery, "Remember, Rover gets the pill and Pepper gets the suppository.  Next."
2, 14, Jeffery, "It's just a simple broken fang, nothing serious."
2, 14, Bender, "What's that you say there, doctor? You're gonna have to put him down?"
2, 14, Jeffery, "No-- What? Huh?"
2, 14, Bender, "Terrible shame that. Shall I do the honours?"
2, 14, Leela, "No!"
2, 14, Bender, "You about done?"
2, 14, Leela, "Next time I'm keeping it."
2, 14, Jeffery, "OK, well I believe I have a replacement fang for your pet in the next room.  The jaguar didn't wanna cooperate but luckily he knocked one of my teeth out.  Now then."
2, 14, Fry, "Hey, what are these rings in Nibbler's fang?"
2, 14, Jeffery, "Um, I'm still a little woozy from a gazelle kick this morning but if he's anything like the common tree, the rings might indicate his age."
2, 14, Fry, "Yeah, well, good luck. It'd take some kind of genius to count all those rings."
2, 14, Jeffery, "He's five."
2, 14, Farnsworth, "Happy birthday, young Nibbler."
2, 14, Leela, "Aww, look how cuddly he looks in his new cape!"
2, 14, Bender, "I'd be cuddly too if someone gave me a new cape."
2, 14, Fry, "Who's playing pin the tail on the moon maggot?"
2, 14, Bender, "Ooh, me! Everyone watch how good I am.  And the crowd goes wild! What prize do I get? Cash?"
2, 14, Amy, "Hey, look at Nibbler!"
2, 14, Hermes, "Aww, he's holding a spoon."
2, 14, Zoidberg, "He's so talented!"
2, 14, Bender, "You call that talent? Gather round old Bender and get ready for the show of a lifetime.  Ta-da!"
2, 14, Hermes, "Now he's wearing a hat!"
2, 14, Leela, "Come on, let's all sing Happy Birthday!"
2, 14, All, "What day is today?It's Nibbler's birthday,What a day for a birthday,Let's all have some cake."
2, 14, Fry, "And you smell like one too!"
2, 14, Bender, "Hey, what about this?"
2, 14, Leela, "Bender, I thought you were supposed to be cooking for this party."
2, 14, Bender, "Fine, we'll have rack of Nibbler."
2, 14, Leela, "Just make a simple cake. And this time, if someone's going to jump out of it, make sure you put them in after you cook it."
2, 14, Bender, "So it's a cake you want, is it? I'll make you a cake you'll never forget."
2, 14, Bender, "That'll take care of those annoying rats.  Now, to bake a cake so delicious they'll have no choice but to love and worship me."
2, 14, Bender, "There! This'll teach those filthy bastards who's lovable. Now all I have to do is spell check it and it's ready for my admiring public.  No! Get away from there!  That's it."
2, 14, Bender, "Happy birthday!"
2, 14, Leela, "Bender, what's going--   No!"
2, 14, Bender, "Hey! Can't you see I'm using the toilet?"
2, 14, Amy, "Bender! How could you flush Nibbler down the toilet?"
2, 14, Bender, "Well, step one, I had to lift the seat. That was the first little annoyance. Am I right, men?"
2, 14, Leela, "Aren't you upset at all? How would you feel if I flushed Fry down the toilet?"
2, 14, Bender, "Only one way to find out."
2, 14, Leela, "You have no sympathy for anyone else's feelings."
